Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Pillsbury,"Multigrain Atta - 7 Grains, High Fibre Flour, High Protein Atta",2 x 5 kg - Multipack,₹588,₹756,No Product Sale Price,22% OFF
BB Royal,Organic - Byadagi Chilli Whole,200 g,₹153,₹229,Get it for ₹145.35!,33% OFF
BB Royal,Jaggery/Bella Powder/Nattu Sakkarai,500 g,₹50,₹60,Get it for ₹47.50!,17% OFF
BB Royal,Mixed Dry fruits,500 g - Pouch,₹586,₹750,Get it for ₹556.70!,22% OFF
BB Royal,Organic - Turmeric Powder/Arisina Pudi,100 g,₹30,₹41,No Product Sale Price,27% OFF
BB Royal,Anjeer/Figs/Atti Hannu,100 g,₹198,₹300,No Product Sale Price,34% OFF
BB Royal,"Organic - Urad Dal/Uddina Bele, White (Split)",2 kg,₹395,₹399,No Product Sale Price,₹4 OFF
Gowardhan,Pure Cow Ghee,2 x 1 L - Multipack,₹1278.4,₹1360,No Product Sale Price,₹82 OFF
Daawat,Basmati Rice/Basmati Akki - Rozana Gold,5 kg - Pouch,₹471.88,₹570,No Product Sale Price,17% OFF
Disano,Olive Oil - Extra Virgin,2x1 L - Multipack,₹2241.08,₹3190,No Product Sale Price,30% OFF
BB Royal,Cardamom Green/Elakki,20 g - Pouch,₹58,₹80,No Product Sale Price,28% OFF
Everest,Garam Masala,100 g - Carton,₹94,₹100,Har Din Sasta!,₹6 OFF
BB Royal,Organic Kodo Millet - Varagu Rice,1 kg,₹142,₹149,No Product Sale Price,₹7 OFF
Tata Sampann,"100% Pure Premium Cashews Whole - Premium Quality Kaju, Rich In Protein, Magnesium, & Phosphorus, Premium Nuts & Dry Fruits|",1 kg - Pouch,₹1134.9,₹1170,Get it for ₹1078.16!,₹35 OFF
BB Royal,Rajma/Capparadavare - Kashmiri,200 g - Pouch,₹40,₹45,No Product Sale Price,11% OFF
Everest,Powder - Green Coriander,200 g - Pouch,₹74,₹84,Har Din Sasta!,12% OFF
BB Royal,Organic - Ragi Whole/Finger Millet,2x1 kg - Multipack,₹134,₹160,No Product Sale Price,16% OFF
BB Popular,Cardamom Green/Elakki,20 g,₹56.4,₹60,Har Din Sasta!,6% OFF
Happilo,"Pistachios - Roasted & Salted, Premium Californian",2x200 g - Multipack,₹776.2,₹790,No Product Sale Price,₹14 OFF
Kara,Coconut Milk - UHT Natural,4x200 ml - Multi Pack,₹300,No Product Price,No Product Sale Price,No Discount
BB Popular,Ponni Boiled - Rice,5 kg - (6 - 11 Months Old),₹244,₹350,No Product Sale Price,30% OFF
Saffola,Active Refined Cooking oil | Blended Rice Bran & SoyaBean oil | Pro Weight Watchers,5 L - Jar,₹759,₹805,Get it for ₹721.05!,₹46 OFF
Sunpure,Rice Bran Oil - Physically Refined,2 X 1 ltr - Multipack,₹240.87,₹290,No Product Sale Price,17% OFF
