Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Colgate,"Kids Anticavity Toothpaste - 6+ Years, Bubble Fruit Flavour, Batman",80 g,₹137.7,₹162,No Product Sale Price,15% OFF
Colgate,"Kids Toothpaste - For 2-5 Years, Healthy Smiles For Little Teeth, Strawberry Flavour",80 g,₹142.56,₹162,No Product Sale Price,12% OFF
Pampers,"New Baby Taped Diapers - Soft, 12 Hours Absorption, 5 Star Skin Comfort, Up To 5 Kg",24 pcs - Pouch,₹330,₹360,Har Din Sasta!,₹30 OFF
Himalaya,"Baby Cream - Extra Soft & Gentle, Paraben Free",200 ml,₹266,₹280,No Product Sale Price,₹14 OFF
Nestle,"Cerelac - Multi Grain Dal Veg, Stage 4",2x300 g - (Multipack),₹644,No Product Price,No Product Sale Price,No Discount
Nestle,"Ceregrow Baby Cereal - Multigrain With Milk & Fruits, Rich In Iron",2x300 g - Multipack,₹666,No Product Price,No Product Sale Price,No Discount
Slurrp Farm,"Sprouted Ragi Powder, 100% Natural Ragi/Nachni, No Sugar, No Salt, No Milk",3x250 g - Multipack,₹791.99,₹900,No Product Sale Price,12% OFF
Pampers,"Taped Baby Diapers - Soft, Up To 12 Hours Absorption, 5 Star Skin Comfort, Size NB",72 pcs,₹989,₹1099,Har Din Sasta!,10% OFF
Nestlé NAN EXCELLAPRO,"3 Follow-Up Formula Powder - After 12 months, Up to 24 months, Stage 3,",400g - Bag-In-Box,₹930,No Product Price,No Product Sale Price,No Discount
Nestle,"Lactogen 2 Follow-Up Formula Powder - After 6 Months, Stage 2",3x400 g - (Multipack),₹1395,No Product Price,No Product Sale Price,No Discount
Nestle,Cerelac Stage - 4 Multigrain & Fruits,2x300 g - (Multipack),₹644,No Product Price,No Product Sale Price,No Discount
Colgate,"Kids Toothpaste - 6+ Years, Strawberry Flavour, Barbie",80 g,₹145.8,₹162,No Product Sale Price,₹16 OFF
Nestle,"Cerelac Baby Cereal With Milk, Wheat Apple Carrot - From 6 To 24 Months",300 g - Bag-In-Box,₹265,No Product Price,No Product Sale Price,No Discount
LuvLap,"Baby Diaper Pants - Up To 12 Hours Protection, Anti-Rash, Soft As Cotton, M",72 pcs,₹499,₹999,Har Din Sasta!,50% OFF
Slurrp Farm,"Strawberry Cereal - No Sugar, Instant Healthy Cereal With Ragi, Rice & Milk",200 g,₹349,No Product Price,No Product Sale Price,No Discount
Baby Dove,Rich Moisture Nourishing Baby Lotion,2x400 ml - (Multipack),₹595,₹700,No Product Sale Price,15% OFF
Slurrp Farm,100% Natural Nut Powder - No Added Sugar Or Preservatives,100 g,₹499,No Product Price,No Product Sale Price,No Discount
Baby Dove,Rich Moisture Baby Shampoo,2x400 ml - (Multipack),₹646,₹760,No Product Sale Price,15% OFF
Nestle,"Cerelac Baby Cereal With Milk, Wheat Apple - From 6 Months",2x300 g - (Multipack),₹520,No Product Price,No Product Sale Price,No Discount
Himalaya,Baby Massage Oil - With Olive Oil & Winter Cherry,200 ml,₹211.5,₹225,Har Din Sasta!,₹14 OFF
Himalaya Baby,Baby Soap - Extra Moisturizing,75 g - Carton,₹58.28,₹62,Har Din Sasta!,6% OFF
Nestle,Lactogen - Follow Up Formula (Stage 3),2x400 g - (Multipack),₹890,No Product Price,No Product Sale Price,No Discount
Nestle,"Cerelac - Wheat Apple Cherry, Stage 2",2x300 g - (Multipack),₹590,No Product Price,No Product Sale Price,No Discount
Aptamil,"Gold Infant Formula Powder - Upto 6 Months, Stage 1, With Prebiotics, DHA, Iron",400 g - Bag-In-Box,₹930,No Product Price,No Product Sale Price,No Discount
Colgate,"Kids Toothpaste - 2-5 Years, Anticavity, Bubble Fruit Flavour",40 g,₹74.8,₹85,No Product Sale Price,12% OFF
Mamaearth,Moisturizing Daily Lotion For Babies,2x400 ml - (Multipack),₹718.2,₹798,No Product Sale Price,₹80 OFF
Colgate,"Kids Toothpaste - 3-5 years, Natural Strawberry Flavour, 0% Artificial",80 g - Tube,₹203.15,₹239,No Product Sale Price,15% OFF
Nestle,"Cerelac Baby Cereal With Milk, 5 Grains & Vegetables- From 18 To 24 Months",300 g - Bag-In-Box,₹329,No Product Price,No Product Sale Price,No Discount
Colgate,"Kids Toothpaste - 6-9 Years, Natural Strawberry Mint Flavour, 0% Artificial",80 g - Tube,₹203.15,₹239,No Product Sale Price,15% OFF
Nestle,"Cerelac - Wheat Rice Mixed Fruit, Stage 3",2x300 g - (Multipack),₹628,No Product Price,No Product Sale Price,No Discount
Nestlé NAN EXCELLAPRO,"Infant Formula Powder - With Probiotic & HMOs - For Up To 6 Months, Stage 1",400 g - Tin,₹940,No Product Price,No Product Sale Price,No Discount
Colgate,Kids 5+ years Minion Toothbrush - Extra Soft With Tongue Cleaner,1 pc,₹71.1,₹79,No Product Sale Price,10% OFF
Mamypoko,"Pant Diaper Pull Up - XXXL, With Breathable Cotto",7 pcs - Pouch,₹397.5,₹399,Har Din Sasta!,₹2 OFF
Mamaearth,Gentle Cleansing Baby Shampoo,2x400 ml - (Multipack),₹726.18,₹798,No Product Sale Price,₹72 OFF
Nestle,Cerelac - Wheat Rice Moong Dal Veg Kichdi (Stage 2 for 8 months & above),2x300 g - Multipack,₹600,No Product Price,No Product Sale Price,No Discount
Slurrp Farm,"Banana Cereal - No Sugar, Instant Healthy Cereal With Ragi, Rice & Milk",200 g,₹349,No Product Price,No Product Sale Price,No Discount
Slurrp Farm,Dates Powder â€“ Made From Premium Arabian Dates/Kharek,300 g,₹599,No Product Price,No Product Sale Price,No Discount
Nestle,"Cerelac - Wheat, Stage 1",2x300 g - (Multipack),₹500,No Product Price,No Product Sale Price,No Discount
Nestle,"Cerelac Baby Cereal With Milk, Rice - From 6 Months",2x300 g - (Multipack),₹510,No Product Price,No Product Sale Price,No Discount
Nestle,"Cerelac Baby Cereal With Milk, Wheat-Rice Mixed Veg - From 10 Months",2x300 g - (Multipack),₹628,No Product Price,No Product Sale Price,No Discount
Amul,Infant Milk Food - Spray,2x1 kg - Multipack,₹910,No Product Price,No Product Sale Price,No Discount
Similac,Advance Stage 1 Infant Formula - Up To 6 Months,2 x 400 g - Multipack,₹1820,No Product Price,No Product Sale Price,No Discount
