Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Horlicks,"Millet Chocolate - Rich In Calcium, Protein & Iron",600 g,₹354,₹399,Get it for ₹336.30!,11% OFF
Real,"Juice - Fruit Power, Orange/Santra",3X1 L - Multipack,₹345,₹390,No Product Sale Price,12% OFF
Real Activ,Fiber + Multi Fruit - No Added Sugar & Preservatives,2x1 L - Multipack,₹214.4,₹320,No Product Sale Price,33% OFF
Fanta,"Soft Drink - Orange Flavoured, Refreshing",2 l - Pet Bottle,₹69,₹80,No Product Sale Price,14% OFF
Real Activ,Beetroot & Carrot Gut Health - No Added Sugars & Preservative,2x1 L - Multipack,₹214.4,₹320,No Product Sale Price,33% OFF
Fresho Signature,Cold Pressed Pomegranate Juice,250 ml,₹109.85,₹169,No Product Sale Price,35% OFF
Real Activ,100 % Mixed Fruit Juice - With No Added Sugar and Preservative,3x1 L - Multipack,₹405,₹465,No Product Sale Price,13% OFF
Protinex,Original Adult Health & Nutritional Drink Mix For Recovery With High Protein,2 x 750 g - Multipack,₹2070,₹2620,No Product Sale Price,21% OFF
Gatorade,Sports Drink - Orange Flavour,3x500 ml - Multipack,₹150,No Product Price,No Product Sale Price,No Discount
Protinex,"Diabetes Care - High In Fibre & Protein, Creamy Vanilla Flavour",400 g,₹665,₹740,No Product Sale Price,10% OFF
Emperia,Masters Blend Tea- Rich Taste,2x1 kg - (Multipack),₹1118,₹1500,No Product Sale Price,25% OFF
IndiSecrets,Organic Chamomile Tea - Tulsi Honey,36 g - (20 Bags x 1.8 g each),₹139,₹199,Get it for ₹132.05!,30% OFF
Complan,"Nutrition & Health Drink - 2X Faster Growth, 34 Pro Immunity, Royale Chocolate",2x1 kg - Multipack,₹1151.34,₹1238,No Product Sale Price,₹87 OFF
Horlicks,"High Protein Drink - Chocolate, Protein+",2x400 g - Multipack,₹1235,₹1300,No Product Sale Price,₹65 OFF
Kapiva,Get Slim Juice,2x 1 L - Multipack,₹1098,No Product Price,No Product Sale Price,No Discount
Raw Pressery,Cold Extracted Juice - Pomegranate,2x1 L - Multipack,₹770.04,₹900,No Product Sale Price,14% OFF
Glucon-D,Instant Energy Health Drink - Tangy Orange,2 x 1 kg - (Multipack),₹633.6,₹704,No Product Sale Price,₹70 OFF
Kapiva,Aloe Vera Juice,2x1 L - Multipack,₹496.34,₹598,No Product Sale Price,17% OFF
Glucon-D,Instant Energy Health Drink - Regular,2 x 1 kg - (Multipack),₹404.8,₹440,No Product Sale Price,₹35 OFF
Paper Boat,Zero Sparkling Water - Cumin,2 x 600 ml - Multipack,₹114,₹120,No Product Sale Price,₹6 OFF
B Natural,"Guava Juice - Rich In Fibre, Vit C & E, 100% Fruit Pulp & 0% Concentrate",1 L - (Pack of 3),₹319.2,₹420,No Product Sale Price,24% OFF
Organic India,Tulsi Ginger Turmeric Tea - Stress Relieving & Harmonizing,47.5 g - (25 Teabags x 1.9g each),₹187.2,₹195,Get it for ₹177.84!,₹8 OFF
Coolberg,Non Alcoholic Beer - Malt,6x330 ml - Multipack,₹508.38,₹594,No Product Sale Price,14% OFF
Cavins,"Kaju Butterscotch Milkshake - With Zinc, Vitamin A & D Added, Supports Immunity",2x1 L - Multipack,₹360,₹480,No Product Sale Price,25% OFF
Complan,"Creamy Classic Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",1 kg - Carton,₹533.11,₹599,No Product Sale Price,11% OFF
IndiSecrets,Organic Tea - Tulsi Ginger & Turmeric,36 g - (20 Bags x 1.8 g each),₹139,₹199,Get it for ₹132.05!,30% OFF
Limca,Soft Drink - Lime & Lemon Flavoured,2 L - PET Bottle,₹69,₹80,No Product Sale Price,14% OFF
Continental,Instant Coffee - Speciale,200 g,₹469.04,₹520,Get it for ₹445.59!,₹51 OFF
Emperia,Tea - Kadak Care,250 g,₹59,₹175,Har Din Sasta!,66% OFF
Ensure,"Diabetes Care Nutrition Drink - Helps Control Blood Sugar Levels, Vanilla Flavour",400 g - Jar,₹995,No Product Price,Get it for ₹945.25!,No Discount
Glucon-D,Instant Energy Health Drink - Nimbu Pani,1 kg - Refill,₹342,₹380,No Product Sale Price,₹38 OFF
Horlicks,"High Protein Drink - Vanilla, Protein+",2x400 g - Multipack,₹1170,₹1300,No Product Sale Price,₹130 OFF
Hershey's,Syrup - Milk Booster,2x450 g - Multipack,₹369.6,₹420,No Product Sale Price,12% OFF
RED BULL,Energy Drink - Sugar Free,250 ml - (Pack of 24),₹3000,No Product Price,No Product Sale Price,No Discount
Paper Boat,Aamras Mango Fruit Juice,1 L - (3x1L),₹351.12,₹420,No Product Sale Price,16% OFF
Real,Fruit Juice - Masala Guava,3x1 L - Multipack,₹210,₹420,No Product Sale Price,50% OFF
Emperia,"Green Tea - With Plain, Tulsi, Lemon & Honey, Travel Pack",6.7 g - (5 Tea Bags x 1.34 g Each),₹19,₹40,Get it for ₹18.05!,53% OFF
SimMom,IQ+ Maternal Nutrition With DHA Health Drink - Vanilla Delight Flavour,400 g,₹565,No Product Price,Get it for ₹536.75!,No Discount
Real,Fruit Juice - Masala Pomegranate,3x1 L - Multipack,₹210,₹420,No Product Sale Price,50% OFF
Girnar,Royal Cup Tea,500 g,₹290,No Product Price,Get it for ₹275.50!,No Discount
Tata Tea Agni,10% Extra Strong Leaves - Special Blend Black Tea,1.5 kg - Pouch,₹335,No Product Price,No Product Sale Price,No Discount
Real,Masala Mixed Fruit,3x1 L - Multipack,₹171,₹420,No Product Sale Price,59% OFF
Monster,Ultra Energy Drink - Zero Sugar,350 ml,₹106.25,₹125,Get it for ₹100.94!,15% OFF
Coolberg,Non Alcoholic Beer - Cranberry,6x330 ml - Multipack,₹508.38,₹594,No Product Sale Price,14% OFF
IndiSecrets,Organic Tea - Tulsi & Ginger,36 g - (20 Bags x 1.8 g each),₹139,₹199,Get it for ₹132.05!,30% OFF
IndiSecrets,Organic Original Tulsi Tea,34 g - (20 Bags x 1.7g each),₹139,₹199,Get it for ₹132.05!,30% OFF
B Natural,"Festive Delight Gift Pack - Guava, Orange, Mixed Fruit",1 L - (Pack of 3),₹301,₹430,Flash Sale!,30% OFF
Tropicana,Delight Fruit Juice - Cranberry,2x1 L - (Multipack),₹270,No Product Price,No Product Sale Price,No Discount
HELL ENERGY,"Drink - Classic, Caffeinated Beverage",250 ml - (Pack of 4),₹240,No Product Price,No Product Sale Price,No Discount
Ensure,"High Protein Drink - For Physically Active Adults, Vanilla Flavour",400 g - Box,₹880,No Product Price,Get it for ₹836!,No Discount
Goodricke,Roasted Darjeeling Organic Tea - Golden Orange Pekoe,250 g - Jar,₹258,₹300,Har Din Sasta!,14% OFF
Roohafza,Sharbat,2x750 ml - Multipack,₹329,₹350,No Product Sale Price,₹21 OFF
Monster,Drink - Energy,12x350 ml - Multipack,₹1500,No Product Price,No Product Sale Price,No Discount
Cothas Coffee,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",2x500 g - Multipack,₹598.4,₹600,No Product Sale Price,₹2 OFF
Nescafe,"Classic Instant Coffee Powder, Roasted Coffee Beans, 100% Pure Coffee",2x190 g - Multipack,₹1188,₹1360,No Product Sale Price,13% OFF
Coolberg,Non Alcoholic Beer - Peach,6x330 ml - Multipack,₹508.38,₹594,No Product Sale Price,14% OFF
SimMom,IQ+ Maternal Nutrition With DHA Health Drink - Premium Chocolate Flavour,400 g,₹565,No Product Price,Get it for ₹536.75!,No Discount
Kinley,Sparkling Water - Club Soda,2x1.25 L - Multipack,₹60,No Product Price,No Product Sale Price,No Discount
Boost,Drink Powder - Sports Stars First Choice,3X15 g - Multipack,₹15,No Product Price,No Product Sale Price,No Discount
Fresho,"Tender Coconut Water - No Added Sugar, Flavours",24x200 ml - (Multipack),₹888,₹1200,No Product Sale Price,26% OFF
Cothas Coffee,Coffee Powder Premium Special,500 g - Pouch,₹310,No Product Price,No Product Sale Price,No Discount
Coca Cola,Diet Coke Soft Drink,6x300 ml - (Multipack),₹240,No Product Price,No Product Sale Price,No Discount
3 Roses,Natural Care Tea - with 5 Natural Ingredients,100 g,₹94,₹100,Har Din Sasta!,₹6 OFF
Frooti,Fresh 'N' Juicy Mango Drink,4x150 ml - Multipack,₹36.8,₹40,No Product Sale Price,8% OFF
Continental,Xtra Coffee,2 x 50 g - Multipack,₹175,₹350,No Product Sale Price,50% OFF
MTR,Badam Drink Mix,500 g,₹245,₹275,No Product Sale Price,11% OFF
Aquafina,Packaged Drinking Water,1 L - (Pack of 15),₹225.6,₹240,Har Din Sasta!,₹14 OFF
Nescafe Classic,"Black Roast Instant Coffee - Rich & Dark, 100% Pure, Soluble Powder",2x90 g - Multipack,₹740,No Product Price,No Product Sale Price,No Discount
LEVISTA,Premium Coffee,100 g - Can,₹185,₹370,No Product Sale Price,50% OFF
Cothas Coffee,Coffee Powder Pure Filter Nova Therm,500 g,₹345,No Product Price,No Product Sale Price,No Discount
Tetley,Green Tea - Ginger Mint Lemon,3x25 Teabags - Multipack,₹418.2,₹510,No Product Sale Price,18% OFF
Appy,Juice - Classic Apple,4x150 ml - Multipack,₹37.6,₹40,No Product Sale Price,6% OFF
7 Up Nimbooz,Soft Drink - With Real Lemon Juice,6 x 250 ml - (Multipack),₹90,No Product Price,No Product Sale Price,No Discount
Raw Pressery,Coconut Water - Packed With Electrolytes & Boosts Hydration,6x200 ml - Multipack,₹307.8,₹360,No Product Sale Price,15% OFF
Paper Boat,Lychee - Litchi Fruit Juice,12x150 ml - Multipack,₹211.2,₹240,No Product Sale Price,12% OFF
