Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
BB Home Earth,"Planter/ Pot With Tray, Hand Crafted Ceramic - Cosmic Maroon, 20.32 cm, Medium Size",1 pc,₹499,₹899,Get it for ₹474.05!,44% OFF
Skore,Shiver - Vibrating Ring For Him,1 pc,₹510,₹600,Get it for ₹484.50!,15% OFF
NATURES PLUS,Coco Peat,1 kg,₹44,₹60,Get it for ₹41.80!,27% OFF
Nirlon,"Aluminium Non Stick Tawa - With Handle, 28 Cm, 4 Mm Chapati Tawa/Roti Tawa/Paratha Tawa/Dosa Tawa",1 pc,₹449,₹999,Get it for ₹426.55!,55% OFF
BB Home Earth,"Tea/ Chai Ceramic Kutting Glasses, Hand Crafted Ceramic - Gradient Multicolour",100 ml - (Set of 6),₹299,₹499,Get it for ₹284.05!,40% OFF
Cello,"Dinner Set - Opalware, Tropical Lagoon, Dazzle, White",18 pcs,₹1149,₹2099,Get it for ₹1091.55!,45% OFF
BB Home Earth,"Planter/ Pot With Tray, Hand- Painted Ceramic, Vintage Seaside Blue Hand Painted, 20.32 cm, Medium Size",1 pc,₹499,₹799,Get it for ₹474.05!,38% OFF
BB Home Earth,"Serving/ Mixing/ Salad/ Cereal Bowl,  Hand- Painted Ceramic, Tri Colour",500 ml,₹149,₹399,Get it for ₹141.55!,63% OFF
Pigeon by Stovekraft,"Stainless Steel Kitchen Knife Set - Sturdy, Assorted",3 pcs,₹229,₹545,Get it for ₹217.55!,58% OFF
NATURES PLUS,Vermi Compost - Organic Manure,1 kg,₹59,₹150,Get it for ₹56.05!,61% OFF
BB Home Earth,"Storage Mini Jar For Pickle, Sugar, Spices, Chutney, Hand Painted Ceramic - Blue White",500 ml,₹249,₹399,Get it for ₹236.55!,38% OFF
Stoneware,"Marble Chakla/Roti Maker, Pol Pat Jointless",1.8 kg,₹349,₹695,Get it for ₹331.55!,50% OFF
BB Home Earth,"Pickle/ Chutney Server, Hand Crafted Ceramic, Royal Green",50 ml,₹99,₹199,Get it for ₹94.05!,50% OFF
Milton,"Water Bottle - Thermosteel, 24 Hour Hot & Cold, Silver, Duo Deluxe",1 L,₹999,₹1450,Get it for ₹949.05!,31% OFF
Le Kaviraj,"Aluminium Kadai - Granite Finish, 22.5 cm",1 pc,₹399,₹999,Get it for ₹379.05!,60% OFF
BB Home Earth,"Serving/Mixing Bowl- With Lid, Hand Painted Ceramic, Tricolour",500 ml,₹299,₹399,Get it for ₹284.05!,25% OFF
Nirlon,"Non-Stick Cookware Fry Pan 240 mm & Tawa 260 mm Set - Granite Coating, Black",2 pcs,₹649,₹1599,Get it for ₹616.55!,59% OFF
IFFCO Urban Gardens,Magic Soil - Multi Purpose Potting Soil,2 kg,₹159,₹200,Get it for ₹151.05!,21% OFF
BB Home,"Rampatra Coffee/Tea Glass - Stainless Steel, 13 cm , Silver",130 ml - (Set of 2),₹89,₹129,Get it for ₹84.55!,31% OFF
Srushti Gold,Aluminium Outer Lid Pressure Cooker Combo,2 pcs - (2 L + 3 L),₹799,₹1400,Get it for ₹759.05!,43% OFF
NATURES PLUS,Coco Peat Block - Coir Fibre Dust,5 Kg,₹325,₹360,Get it for ₹308.75!,₹35 OFF
Nippo,"Rechargeable Mosquito Bat - Polycarbonate, Terminator 2, Over Charge Protection, Shock Proof, Li-On Battery",1 pc,₹699,₹799,Get it for ₹664.05!,13% OFF
Polyset,Mapple Plastic Bread Box Plastic Container - Assorted Color,2.5 L,₹79,₹129,Get it for ₹75.05!,39% OFF
BB Home Earth,"Dining Bowl/Katori Set, Hand Painted Ceramic - Floral Ancient Royal Blue",200 ml - (Set of 4),₹199,₹299,Get it for ₹189.05!,33% OFF
BB Home Earth,"Ceramic Jelly/Pudding Bowl, Hand Crafted Ceramic - Purple Pink",200 ml - (Set of 2),₹199,₹299,Get it for ₹189.05!,33% OFF
Milton,"Flask - Hot Cold Thermosteel Flip, Silver",1 L,₹964,₹1205,Get it for ₹915.80!,20% OFF
Anjali,"Chopping/Cutting Board - For Fruits & Vegetable, Green",1 pc,₹149,₹320,Get it for ₹141.55!,53% OFF
Panasonic LED,"9.5 W Bulb - Spherical, 6500 K, Long Life, Energy-Saving",2 pcs,₹179,₹340,Get it for ₹170.05!,47% OFF
BB Home Earth,"Planter/ Pot With Tray, Hand Painted Ceramic, Jewel Royal Blue, 15.24 cm, Medium Size",1 pc,₹399,₹699,Get it for ₹379.05!,43% OFF
Laplast,"Oil Dispenser - Transparent, Plastic, Floral, Round",1 L,₹60,₹107,Get it for ₹57!,44% OFF
BB Home Earth,"Serving/ Mixing/ Salad/ Cereal Bowl, Hand Crafted Ceramic, Mystic Blue",500 ml,₹179,₹399,Get it for ₹170.05!,55% OFF
Asian,Dynamic Leakproof Containers/Tiffin Boxes,300 ml - (Set of 4),₹109,₹172,Get it for ₹103.55!,37% OFF
Cello,H2O Unbreakable Water Bottle - Orange,2x1 L - Multipack,₹284.89,₹432,No Product Sale Price,34% OFF
NATURES PLUS,"Rubber Gloves - green, Medium, 20 cm",1 pair,₹159,₹180,Get it for ₹151.05!,12% OFF
Duracell,Alkaline AAA Batteries,4 pcs - Blister Pack,₹90,₹95,Get it for ₹85.50!,5% OFF
Eveready,"0.5W LED Deco Bulb - B22, Cool Daylight, 6500-7500K, Instant Start, White",1 pc,₹35,₹70,Har Din Sasta!,50% OFF
BB Home Earth,"Coffee/ Milk/ Tea Mug, Hand Crafted Ceramic- Coastal Blue",300 ml,₹99,₹199,Get it for ₹94.05!,50% OFF
BB Home,"Cooker/Dabba Separator - Deep, Stainless Steel, For 3 L Pressure Cooker, Silver",630 ml,₹129,₹329,Get it for ₹122.55!,61% OFF
Kvg,"Gas Lighter - Stainless Steel, Size-No .1",1 pc,₹78,₹79,Get it for ₹74.10!,1% OFF
NATURES PLUS,Coco Peat - 100% Natural,3 x 1 kg - Multipack,₹126.14,₹180,No Product Sale Price,30% OFF
BB Home Earth,"Storage Jar/Handi, For Pickle/  Spices, Hand- Painted ceramic - Classic Floral Red Yellow",700 ml,₹199,₹299,Get it for ₹189.05!,33% OFF
BB Home Earth,"Serving/Mixing Bowl, Hand Painted Ceramic - Spiral Blue White",500 ml,₹149,₹199,Get it for ₹141.55!,25% OFF
Leoron by Srushti Gold,Aluminium Outer Lid Pressure Cooker,3 L,₹499,₹1229,Get it for ₹474.05!,59% OFF
BB Home,"Leo Plastic PET Water Bottle - Break Resistant, Leak Proof, Narrow Mouth, Blue",3 x 1 L - Multipack,₹80.04,₹150,No Product Sale Price,47% OFF
Milton,Executive Stainless Steel Lunch/Tiffin Box With Containers & Cover - Green,5 pcs,₹349,₹445,Get it for ₹331.55!,22% OFF
IFFCO Urban Gardens,Nutri Rich - Seaweed Fortified Vermicompost,5 Kg,₹229,₹300,Get it for ₹217.55!,24% OFF
BB Home,"Crystal Plastic PET Water Bottle - Break Resistant, Leak Proof, Black",1 L,₹69,₹120,Har Din Sasta!,43% OFF
BB Home,"Dinner Spoon - Classic Jazz Series, Stainless Steel, BBCL14",6 pcs,₹189,₹279,Get it for ₹179.55!,32% OFF
Drools,"Real Chicken & Chicken Liver Chunks In Gravy Dog Wet Food, Puppy",150 g - (15 pcs),₹488.25,₹525,Get it for ₹463.84!,₹37 OFF
BB Home,"Cooker/Dabba Separator - Deep, Stainless Steel, For 5 L Pressure Cooker, Silver",1.5 l - (1 pc),₹189,₹369,Get it for ₹179.55!,49% OFF
Prestige,"Stainless Steel Gas Lighter With Knife - Red, PGL-03",2 pcs,₹119,₹145,Get it for ₹113.05!,18% OFF
Nippo,Battery AAA Gold 15V 4DG,2 x 10 pcs - Multipack,₹220.66,₹360,No Product Sale Price,39% OFF
BB Home Earth,"Coffee/ Milk/ Tea Mug, Hand-crafted Ceramic - Mystic Blue",300 ml,₹79,₹199,Get it for ₹75.05!,60% OFF
Srushti Gold,Aluminium Outer Lid Pressure Cooker - Induction Base,3 L,₹599,₹1200,Get it for ₹569.05!,50% OFF
Signoraware,Slim High Borosilicate Bakeware Safe Glass Small Lunch Box - Clear,600 ml,₹515,₹619,Get it for ₹489.25!,17% OFF
Yera,Water/Juice Glass - Transparent,250 ml - (Set of 6),₹199,₹260,Get it for ₹189.05!,23% OFF
BB Home,"Stainless Steel Spray Hexagon Adhesive Hook Set - Strong Grip, Max. Load 2.0 kg",2 pcs,₹119,₹309,Get it for ₹113.05!,61% OFF
BB Home Earth,"Planter/ Pot With Tray, Hand-Painted Ceramic, Vintage Autumn, 20.32 cm, Medium Size",1 pc,₹499,₹799,Get it for ₹474.05!,38% OFF
BB Home Earth,"Tea/ Coffee Mug Set, Hand Painted Ceramic- Diamond Red Black",180 ml - (Set of 6),₹299,₹399,Get it for ₹284.05!,25% OFF
BB Home Earth,"Coffee/ Milk/ Tea Mug, Hand Crafted Ceramic - Floral Fusion Multicolour",300 ml,₹79,₹199,No Product Sale Price,60% OFF
BB Home,"Spectrum Plastic PET Water Bottle - Break Resistant, Leak Proof, Olive Green",1 L,₹69,₹120,Har Din Sasta!,43% OFF
BB Home,"Spoon - Medium, Premium Excel Series, Stainless Steel, 6 BBCL07",6 pcs,₹199,₹299,Get it for ₹189.05!,33% OFF
Anjali,"Gas Cylinder Trolley - Round, Plastic, Sturdy Wheels, Leaves No Scratches",1 pc,₹199,₹225,Har Din Sasta!,12% OFF
